,input,output,instruction,context,DistilBERT_pred,MobileBERT_pred
1353,The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .
Answer: ",neutral,neutral
1358,"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .
Answer: ",neutral,neutral
1363,"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .
Answer: ",neutral,neutral
1365,The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .
Answer: ",neutral,neutral
1369,"The competition was received with great enthusiasm by the employees , he goes on .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The competition was received with great enthusiasm by the employees , he goes on .
Answer: ",positive,neutral
1372,The desk will reach its full planned strength of ten persons in autumn 2007 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The desk will reach its full planned strength of ten persons in autumn 2007 .
Answer: ",neutral,neutral
1384,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .
Answer: ",neutral,neutral
1388,"The important thing now is to keep the bank 's existing 15,000 customers .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The important thing now is to keep the bank 's existing 15,000 customers .
Answer: ",neutral,neutral
1396,"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The most interesting export markets will be Russia , the Baltic countries and Scandinavia .
Answer: ",neutral,neutral
1409,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .
Answer: ",positive,neutral
1430,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .
Answer: ",neutral,neutral
1445,Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .
Answer: ",neutral,neutral
1460,"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .
Answer: ",neutral,neutral
1470,`` Nokia is just interested in bring Nokia to the market . '',neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` Nokia is just interested in bring Nokia to the market . ''
Answer: ",neutral,neutral
1471,`` Our aim is to understand different traffic patterns based on the use of each building .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` Our aim is to understand different traffic patterns based on the use of each building .
Answer: ",neutral,neutral
1478,"`` The bond gathered subscriptions from some 400 investors and the issued amount can be considered substantial taking into account the main target group -- retail investors , '' Citycon CFO Eero Sihvonen said .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` The bond gathered subscriptions from some 400 investors and the issued amount can be considered substantial taking into account the main target group -- retail investors , '' Citycon CFO Eero Sihvonen said .
Answer: ",neutral,neutral
1484,"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience .
Answer: ",positive,neutral
1493,A realignment of interests in the sector is clearly under way .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: A realignment of interests in the sector is clearly under way .
Answer: ",positive,neutral
1495,Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .
Answer: ",neutral,neutral
1500,As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .
Answer: ",neutral,neutral
1516,"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .
Answer: ",neutral,neutral
1527,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .
Answer: ",neutral,neutral
1528,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .
Answer: ",neutral,neutral
1529,"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .
Answer: ",neutral,neutral
1531,"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .
Answer: ",positive,neutral
1540,"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said .
Answer: ",positive,neutral
1542,"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .
Answer: ",neutral,neutral
1568,Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Nokian Tyres ' tyres are considered genuine winter tyres in Russia .
Answer: ",neutral,neutral
1570,"On the other hand , Finnish sawmills ' production has decreased even more .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: On the other hand , Finnish sawmills ' production has decreased even more .
Answer: ",negative,neutral
1571,"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .
Answer: ",positive,neutral
1573,"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .
Answer: ",neutral,neutral
1574,"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .
Answer: ",neutral,neutral
1581,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .
Answer: ",neutral,neutral
1585,Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .
Answer: ",neutral,neutral
1597,"Stora Enso Oyj said Friday it will sell its North American unit to NewPage , in a deal valued at euro1 .82 billion US$ 2.52 million .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Stora Enso Oyj said Friday it will sell its North American unit to NewPage , in a deal valued at euro1 .82 billion US$ 2.52 million .
Answer: ",neutral,neutral
1603,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .
Answer: ",neutral,neutral
1604,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .
Answer: ",positive,neutral
1605,The aim is to develop open-source application solutions .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The aim is to develop open-source application solutions .
Answer: ",neutral,neutral
1619,"The company said Offshore segment represented 43 % of the total marine engines orders for the July-September 2010 period , Merchant 33 % , Special vessels 18 % , and Cruise and Ferry , and Ship Design -- 2 % and 3 % , respectively .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The company said Offshore segment represented 43 % of the total marine engines orders for the July-September 2010 period , Merchant 33 % , Special vessels 18 % , and Cruise and Ferry , and Ship Design -- 2 % and 3 % , respectively .
Answer: ",neutral,neutral
1625,"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .
Answer: ",neutral,neutral
1631,The event can also be viewed as a live audio webcast at www.ahlstrom.com .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The event can also be viewed as a live audio webcast at www.ahlstrom.com .
Answer: ",neutral,neutral
1633,The first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .
Answer: ",neutral,neutral
1635,The investment will be worth approximately EUR 100mn .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The investment will be worth approximately EUR 100mn .
Answer: ",neutral,neutral
1636,The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .
Answer: ",neutral,neutral
1639,"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .
Answer: ",neutral,neutral
1645,The organization that is a member of the Russian auto sector union MPRA has become active since Tikkurila acquired Russian paint company Kraski Teks in 2006 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The organization that is a member of the Russian auto sector union MPRA has become active since Tikkurila acquired Russian paint company Kraski Teks in 2006 .
Answer: ",neutral,neutral
1646,"The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format .
Answer: ",neutral,neutral
1648,The pipeline is strong .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The pipeline is strong .
Answer: ",positive,neutral
1658,"The terms of the financing were approved by the Annual General Meeting of the Company held on June 30 , 2010 .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The terms of the financing were approved by the Annual General Meeting of the Company held on June 30 , 2010 .
Answer: ",positive,neutral
1663,"The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said .
Answer: ",neutral,neutral
1664,The upgraded factory is scheduled to come on stream in the summer of 2008 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The upgraded factory is scheduled to come on stream in the summer of 2008 .
Answer: ",neutral,neutral
1668,This allows devices such as mobile phones to become a few millimetres thinner .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: This allows devices such as mobile phones to become a few millimetres thinner .
Answer: ",neutral,neutral
1669,"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .
Answer: ",neutral,neutral
1673,Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Three students from Universiti Sains Malaysia have won a study trip to Helsinki .
Answer: ",neutral,neutral
1678,To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .
Answer: ",neutral,neutral
1679,"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: To see more of New Haven Register , or to subscribe to the newspaper .
Answer: ",neutral,neutral
1680,"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .
Answer: ",neutral,neutral
1682,Together they generate Aspo 's goodwill .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Together they generate Aspo 's goodwill .
Answer: ",neutral,neutral
1683,"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .
Answer: ",neutral,neutral
1685,UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: UPM-Kymmene has generated four consecutive quarters of positive Free Cash Flow .
Answer: ",positive,neutral
1686,UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .
Answer: ",positive,neutral
1687,UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .
Answer: ",positive,neutral
1692,We make available the following brand-new market analyses : Cement - UK Cement - Poland Cement - Belgium These analyses give a clear overview of the actual situation and future outlook of the cement industry in some European countries .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: We make available the following brand-new market analyses : Cement - UK Cement - Poland Cement - Belgium These analyses give a clear overview of the actual situation and future outlook of the cement industry in some European countries .
Answer: ",neutral,neutral
1693,We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .
Answer: ",neutral,neutral
1696,"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .
Answer: ",neutral,neutral
1707,"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .
Answer: ",negative,neutral
1715,Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .
Answer: ",positive,neutral
1719,I thank Jarmo Ukonaho warmly for his contribution and wish him all the best in the future challenges . '',neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: I thank Jarmo Ukonaho warmly for his contribution and wish him all the best in the future challenges . ''
Answer: ",neutral,neutral
1722,"`` Following last year 's good profit development , we have entered the current year in a good position .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` Following last year 's good profit development , we have entered the current year in a good position .
Answer: ",positive,neutral
1733,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .
Answer: ",positive,neutral
1734,"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .
Answer: ",positive,neutral
1753,Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .
Answer: ",positive,neutral
1757,President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .
Answer: ",positive,neutral
1761,"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .
Answer: ",positive,neutral
1772,"`` These patronage refunds reward members that use the fee-based services that make a positive contribution to CenCorp 's operating results , '' said Bill Walby , CenCorp CEO .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` These patronage refunds reward members that use the fee-based services that make a positive contribution to CenCorp 's operating results , '' said Bill Walby , CenCorp CEO .
Answer: ",neutral,neutral
1792,"We are very pleased with the fine co-operation between the two countries in recent times , he said .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: We are very pleased with the fine co-operation between the two countries in recent times , he said .
Answer: ",positive,neutral
